id,latitude,longitude,population
Araripina,52.379189,4.899431,821752
Caruaru,52.092876,5.10448,334176
Igarassu,52.078663,4.288788,514861
Instancia,53.61239,-0.22219,9642
Carpina,53.52285,-1.13116,302400
Serra Talhada,51.9775,4.13333,9382
Arco Verde,51.96375,1.3511,23689
Ouricuri,52.05917,1.15545,133384
Surubim,51.88921,0.90421,104390
Petrolina,51.509865,-0.118092,8787892
Salgueiro,51.9225,4.47917,623652
Exu,52.01667,4.70833,70939
Cupira,-8.616944,-35.95,24 107
Orobó,-7.745,-35.601944,23 884
Rio Formoso,-8.663889,-35.158889,23 535
Amaraji,-8.382778,-35.452778,22 829
Feira Nova,-7.950833,-35.388889,22 131
Parnamirim,-8.090833,-39.577778,22 010
Chã Grande,-8.237778,-35.461944,21 698
Lagoa de Itaenga,-7.869444,-35.290278,21 429
